Course Name_y,Course Name_x,Overview,Course Code
Bachelor of Business,Accounting ,"The Bachelor of Business offers students a sound background in all areas of business through eight common core subjects undertaken in first year. It also provides them with an opportunity to study one or more areas of interest via a major or an extended major undertaken from second year. The major provides them with in-depth knowledge in a business specialisation. Students could also undertake sub-majors or electives to complement this specialised knowledge.

The Bachelor of Business provides flexibility for students as they construct a learning journey tailored to their career aspirations. Students can choose from a range of course structures. Depending on their selected course structure, they can choose from a wide range of majors, sub-majors or electives which deepen expertise via business subjects, or add breadth via subjects from other faculties and schools.

",C10026 
Bachelor of Business,Advertising and Marketing Communication ,"The Bachelor of Business offers students a sound background in all areas of business through eight common core subjects undertaken in first year. It also provides them with an opportunity to study one or more areas of interest via a major or an extended major undertaken from second year. The major provides them with in-depth knowledge in a business specialisation. Students could also undertake sub-majors or electives to complement this specialised knowledge.

The Bachelor of Business provides flexibility for students as they construct a learning journey tailored to their career aspirations. Students can choose from a range of course structures. Depending on their selected course structure, they can choose from a wide range of majors, sub-majors or electives which deepen expertise via business subjects, or add breadth via subjects from other faculties and schools.

",C10026 
Bachelor of Business,Economics ,"The Bachelor of Business offers students a sound background in all areas of business through eight common core subjects undertaken in first year. It also provides them with an opportunity to study one or more areas of interest via a major or an extended major undertaken from second year. The major provides them with in-depth knowledge in a business specialisation. Students could also undertake sub-majors or electives to complement this specialised knowledge.

The Bachelor of Business provides flexibility for students as they construct a learning journey tailored to their career aspirations. Students can choose from a range of course structures. Depending on their selected course structure, they can choose from a wide range of majors, sub-majors or electives which deepen expertise via business subjects, or add breadth via subjects from other faculties and schools.

",C10026 
Bachelor of Business,Finance ,"The Bachelor of Business offers students a sound background in all areas of business through eight common core subjects undertaken in first year. It also provides them with an opportunity to study one or more areas of interest via a major or an extended major undertaken from second year. The major provides them with in-depth knowledge in a business specialisation. Students could also undertake sub-majors or electives to complement this specialised knowledge.

The Bachelor of Business provides flexibility for students as they construct a learning journey tailored to their career aspirations. Students can choose from a range of course structures. Depending on their selected course structure, they can choose from a wide range of majors, sub-majors or electives which deepen expertise via business subjects, or add breadth via subjects from other faculties and schools.

",C10026 
Bachelor of Business,Human Resource Management ,"The Bachelor of Business offers students a sound background in all areas of business through eight common core subjects undertaken in first year. It also provides them with an opportunity to study one or more areas of interest via a major or an extended major undertaken from second year. The major provides them with in-depth knowledge in a business specialisation. Students could also undertake sub-majors or electives to complement this specialised knowledge.

The Bachelor of Business provides flexibility for students as they construct a learning journey tailored to their career aspirations. Students can choose from a range of course structures. Depending on their selected course structure, they can choose from a wide range of majors, sub-majors or electives which deepen expertise via business subjects, or add breadth via subjects from other faculties and schools.

",C10026 
Bachelor of Business,International Business ,"The Bachelor of Business offers students a sound background in all areas of business through eight common core subjects undertaken in first year. It also provides them with an opportunity to study one or more areas of interest via a major or an extended major undertaken from second year. The major provides them with in-depth knowledge in a business specialisation. Students could also undertake sub-majors or electives to complement this specialised knowledge.

The Bachelor of Business provides flexibility for students as they construct a learning journey tailored to their career aspirations. Students can choose from a range of course structures. Depending on their selected course structure, they can choose from a wide range of majors, sub-majors or electives which deepen expertise via business subjects, or add breadth via subjects from other faculties and schools.

",C10026 
Bachelor of Business,Management ,"The Bachelor of Business offers students a sound background in all areas of business through eight common core subjects undertaken in first year. It also provides them with an opportunity to study one or more areas of interest via a major or an extended major undertaken from second year. The major provides them with in-depth knowledge in a business specialisation. Students could also undertake sub-majors or electives to complement this specialised knowledge.

The Bachelor of Business provides flexibility for students as they construct a learning journey tailored to their career aspirations. Students can choose from a range of course structures. Depending on their selected course structure, they can choose from a wide range of majors, sub-majors or electives which deepen expertise via business subjects, or add breadth via subjects from other faculties and schools.

",C10026 
Bachelor of Business,Marketing ,"The Bachelor of Business offers students a sound background in all areas of business through eight common core subjects undertaken in first year. It also provides them with an opportunity to study one or more areas of interest via a major or an extended major undertaken from second year. The major provides them with in-depth knowledge in a business specialisation. Students could also undertake sub-majors or electives to complement this specialised knowledge.

The Bachelor of Business provides flexibility for students as they construct a learning journey tailored to their career aspirations. Students can choose from a range of course structures. Depending on their selected course structure, they can choose from a wide range of majors, sub-majors or electives which deepen expertise via business subjects, or add breadth via subjects from other faculties and schools.

",C10026 
Bachelor of Management,Management ,"The Bachelor of Management provides integrated insights into the functions of professional enterprises in the experience economy and related digital industries. The program involves a combination of both theory and practice-oriented education, with the option of workplace internships. Offshore partnerships with established UTS university partners allow students to engage with the UTS exchange program in the later stages of their degree. Partnerships with industry bodies allow students to engage with practical projects, field visits, in-class case studies, and internships, all of which assist with prospects for graduate employment.

With majors available in digital creative enterprise, events, and sport business, the Bachelor of Management program reflects the longstanding importance of entertainment and experience-based industries in Australia's economy. These highly adaptable creative sectors reflect the globalised, digitised, and dynamic nature of work in the 21st century, around which innovation and entrepreneurship are keys.

",C10342 
Bachelor of Economics,Economics ,"The Bachelor of Economics offers students the analytical and quantitative skills required for an in-depth understanding of key economic principles. The degree complements this knowledge with the option of majors across selected business disciplines.

The course provides thorough training in economic analysis and its applications to economic and business policy. Throughout the course, students develop knowledge of microeconomics, macroeconomics, econometrics, behavioural economics, game theory, and other fields of Economics. A capstone subject of the degree synthesises knowledge from these areas of economics to study policy-making in real-world settings.

",C10348 
